tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitingCount;tripinfo_waitingTime
211.00;329995330#4_1;24.83;9.82;23.00;-0.05;511366397_0;5.10;4.93;tripinfo_391 routing_391;188.00;391;1;1280.58;0.89;0.00;46.41;DEFAULT_VEHTYPE;;1;22.00
213.00;19357991#2_0;170.35;8.37;54.00;-0.47;-19359987_0;5.10;11.71;tripinfo_543 routing_543;159.00;543;1;1440.65;1.05;0.00;33.93;DEFAULT_VEHTYPE;;1;1.00
217.00;-19353264#0_0;86.48;11.02;11.00;-0.12;19353318_0;5.10;12.10;tripinfo_245 routing_245;206.00;245;1;1986.06;1.08;0.00;38.61;DEFAULT_VEHTYPE;;1;16.00
220.00;19357114#3_0;125.59;9.60;2.00;-0.83;19352058_0;5.10;10.49;tripinfo_283 routing_283;218.00;283;1;1624.28;0.94;0.00;61.07;DEFAULT_VEHTYPE;;1;39.00
228.00;-19356452#2_0;92.05;10.55;4.00;-0.77;19355160#0_0;5.10;11.30;tripinfo_519 routing_519;224.00;519;1;2290.30;1.01;0.00;18.98;DEFAULT_VEHTYPE;;0;0.00
231.00;19357114#3_0;125.59;10.50;46.00;-0.90;19357539#1_0;5.10;11.47;tripinfo_571 routing_571;185.00;571;1;1834.07;1.03;0.00;22.09;DEFAULT_VEHTYPE;;0;0.00
244.00;19353333#2_1;50.87;10.81;106.00;-0.94;-511366397_0;5.10;5.62;tripinfo_399 routing_399;138.00;399;1;895.85;1.01;0.00;42.44;DEFAULT_VEHTYPE;;1;23.00
277.00;19357991#1_0;101.31;11.86;167.00;-0.76;-19352037_0;5.10;13.10;tripinfo_567 routing_567;110.00;567;1;1193.57;1.17;0.00;17.13;DEFAULT_VEHTYPE;;0;0.00
279.00;19352131#9_1;48.41;10.34;105.00;-0.18;576756561#0_0;5.10;11.38;tripinfo_508 routing_508;174.00;508;1;1691.31;1.02;0.00;21.79;DEFAULT_VEHTYPE;;0;0.00
283.00;-19352131#5_1;49.62;10.77;70.00;-0.72;19352037_0;5.10;11.08;tripinfo_597 routing_597;213.00;597;1;2097.22;0.99;0.00;19.95;DEFAULT_VEHTYPE;;0;0.00
288.00;-440717074#4_1;104.00;9.47;76.00;-0.76;-19356025#1_0;5.10;9.82;tripinfo_551 routing_551;212.00;551;1;1667.75;0.88;0.00;41.18;DEFAULT_VEHTYPE;;1;23.00
296.00;-19357839_0;87.22;10.22;107.00;-0.93;-19358499#1_1;5.10;10.90;tripinfo_367 routing_367;189.00;367;1;1452.70;0.98;0.00;52.52;DEFAULT_VEHTYPE;;1;25.00
297.00;329995330#8_1;24.23;12.51;150.00;-0.40;511366397_0;5.10;6.29;tripinfo_318 routing_318;147.00;318;1;1433.11;1.13;0.00;24.70;DEFAULT_VEHTYPE;;0;0.00
300.00;-329995277#2_1;69.27;9.67;145.00;-0.86;19358136#4_0;5.10;10.25;tripinfo_647 routing_647;155.00;647;1;1295.58;0.92;0.00;24.50;DEFAULT_VEHTYPE;;1;2.00
303.00;-19357991#1_0;101.66;12.65;101.00;-0.43;-19352058_0;5.10;12.95;tripinfo_223 routing_223;202.00;223;1;1670.52;1.16;0.00;70.75;DEFAULT_VEHTYPE;;1;46.00
303.00;19359517#0_1;194.68;12.58;159.00;-0.54;-19360850#0_0;5.10;12.91;tripinfo_649 routing_649;144.00;649;1;1610.47;1.15;0.00;16.39;DEFAULT_VEHTYPE;;1;1.00
315.00;-19354933_0;349.65;12.78;153.00;-0.62;19359987_0;5.10;13.18;tripinfo_565 routing_565;162.00;565;1;1580.69;1.18;0.00;39.66;DEFAULT_VEHTYPE;;1;21.00
319.00;19353264#3_0;46.83;9.00;37.00;-0.70;19359987_0;5.10;9.58;tripinfo_526 routing_526;282.00;526;1;2129.81;0.86;0.00;56.34;DEFAULT_VEHTYPE;;1;27.00
330.00;19357539#1_0;239.69;10.86;16.00;-0.72;-19352058_0;5.10;11.52;tripinfo_88 routing_88;314.00;88;1;2602.33;1.03;0.00;85.78;DEFAULT_VEHTYPE;;3;47.00
339.00;19354745#1_1;5.01;11.71;278.00;-0.44;-19352285#7_1;5.10;12.77;tripinfo_618 routing_618;61.00;618;1;678.10;1.14;0.00;6.94;DEFAULT_VEHTYPE;;0;0.00
344.00;-19352131#10_1;34.15;10.14;200.00;-0.43;19359987_0;5.10;10.70;tripinfo_503 routing_503;144.00;503;1;1356.70;0.96;0.00;15.58;DEFAULT_VEHTYPE;;0;0.00
351.00;-19351857#5_1;7.04;10.50;19.00;-0.61;-19355160#3_0;5.10;11.69;tripinfo_412 routing_412;332.00;412;1;3555.99;1.05;0.00;24.97;DEFAULT_VEHTYPE;;0;0.00
358.00;-19361189#2_0;49.18;10.27;81.00;-0.63;-511366397_0;5.10;5.21;tripinfo_111 routing_111;277.00;111;1;2130.73;0.94;0.00;54.21;DEFAULT_VEHTYPE;;3;19.00
364.00;-19356382#34_1;51.22;10.94;259.00;-0.99;-19354572#0_0;5.10;11.22;tripinfo_699 routing_699;105.00;699;1;1010.06;1.00;0.00;12.54;DEFAULT_VEHTYPE;;0;0.00
371.00;19354328_0;144.90;10.04;153.00;-0.28;-19355160#0_0;5.10;10.41;tripinfo_546 routing_546;218.00;546;1;2047.25;0.93;0.00;18.55;DEFAULT_VEHTYPE;;0;0.00
406.00;329995330#6_1;32.22;9.09;114.00;-0.89;19352058_0;5.10;9.23;tripinfo_370 routing_370;292.00;370;1;2259.40;0.83;0.00;40.81;DEFAULT_VEHTYPE;;3;3.00
407.00;-19357968_0;129.14;11.84;240.00;-0.79;19357539#1_0;5.10;13.07;tripinfo_534 routing_534;167.00;534;1;1921.73;1.17;0.00;17.68;DEFAULT_VEHTYPE;;0;0.00
408.00;19353264#0_0;86.48;9.35;73.00;-0.98;-661061477#0_1;5.10;10.36;tripinfo_587 routing_587;335.00;587;1;2830.71;0.93;0.00;58.49;DEFAULT_VEHTYPE;;1;29.00
417.00;661061473#0_1;18.95;10.91;302.00;-0.92;-19353591#1_0;5.10;11.36;tripinfo_654 routing_654;115.00;654;1;1009.10;1.02;0.00;23.56;DEFAULT_VEHTYPE;;2;2.00
433.00;19354574#0_0;54.99;9.65;36.00;-0.86;-19352058_0;5.10;10.49;tripinfo_198 routing_198;397.00;198;1;3084.77;0.94;0.00;100.23;DEFAULT_VEHTYPE;;2;63.00
434.00;19354792#0_1;69.36;8.81;108.00;-0.25;-19358928_0;5.10;9.95;tripinfo_694 routing_694;326.00;694;1;2719.90;0.89;0.00;49.33;DEFAULT_VEHTYPE;;4;4.00
